                                            Licensed Asbestos Contractors                                                 Updated 08/2026



                     Name                                      Address                      City       State      Phone Number
B&R Insulation, Inc.                                 15001 W. 101 Terr
                                                                 st
                                                                                       Lenexa         KS       913 492-1346
Associated Insulation, Inc.                          701 Pecan Cir                     Manhattan      KS       785 776 0145
Great Plains Asbestos Control, Inc.                  PO Box 39                         Kearney        NE       308 234-3350
Performance Abatement Services, Inc.                 11145 Thompson Ave                Lenexa         KS       913 914-5224
Remediation Contractors, Inc.                        319 N Mathewson Ave               Wichita        KS       316 269-1549
Jacobson Asbestos Company                            3835 SW 39th Terrace              Topeka         KS       785 817 2047
McGill Asbestos Abatement Co., LLC                   1920 Paul St                      Omaha          NE       402 699-5487
Midwest Steel Company, Inc.                          9825 Moers Rd                     Houston        TX       713 991-7843
Asbestos Handlers, Inc                               6920 E. Reading Plc.              Tulsa          OK       918 836 5585
Integrated Solutions, Inc. (dba iSi Environmental)   215 S. Laura                      Wichita        KS       316 264 7050
AT Abatement Services, Inc.                          4915 Stilwell                     Kansas City    MO       816 242 0444
Environmental Action, Inc.                           PO Box 1029                       Jenks          OK       918 298 4080
Horsley Specialties, Inc.                            PO Box 1277                       Rapid City     SD       605 342-5634
Abatement Systems, Inc                               PO Box 773                        Broken Arrow   OK       918 251 3852
Gerken Environmental Enterprises, Inc                21528 W. Mt. Vernon               Springfield    MO       417 863 7254
Bockmann, Inc.                                       1600 Center Park Rd               Lincoln        NE       402 423 6631
Construction and Abatement Services, Inc.            1100 Guinotte Ave                 Kansas City    MO       816 524 3233
Midwest Service Group                                560 Turner Blvd                   St. Peters     MO       636 926 7800
EnviroServe                                          PO Box 737                        Carthage       MO       417 358 3599
P&M Insulation                                       3607 Indiana Rd                   Ottawa         KS       785 554 8944
24/7 Enviro Solutions, Inc.                          1703 S. Sterling Ave.             Independence   MO       816 252 1659
Lakeshore Environmental Contractors, LLC             5513 Eastcliff Ind. Loop          Birmingham     AL       205 943 5711
BrandSafway LLC                                      201 Estes Dr.                     Longview       TX       801 656 5213
New Horizons Enterprises, LLC                        PO Box 681183                     Kansas City    MO       816 569 5256
Environmental Assurance CO., Inc.                    440 Hancock St                    Indianapolis   IN       317 636 8500
Insco Environmental, Inc.                            6902 Martindale Rd.               Shawnee        KS       660 924 8348
AMX Environmental, LTD.                              2351 W. Northwest HWY. STE 2118   Dallas         TX       214 353 8087
